region_code,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change
0,7,2020,1,332915074,60180,0,622.310.572.033.824,-20.510.572.033.824,60180,0,-616.090.217.465.611,-329.587.395.033.186
0,7,2020,2,332915074,60737,0,626.110.572.033.887,-187.405.720.338.866,60737,0,-562.923.505.046.413,-299.317.291.081.818
0,7,2020,3,332915074,59366,0,611.177.238.700.553,-175.172.387.005.532,59366,0,-526.177.396.838.246,-286.614.709.961.992
0,7,2020,4,332915074,59164,0,60.353.890.536.722,-118.989.053.672.198,59164,0,-357.415.638.296.384,-197.152.250.855.811
0,7,2020,5,332915074,58835,0,600.227.238.700.553,-118.772.387.005.533,58835,0,-356.764.821.665.999,-197.879.035.384.437
0,7,2020,6,332915074,59484,0,602.540.572.033.887,-770.057.203.388.656,59484,0,-231.307.400.453.924,-127.801.718.113.248
0,7,2020,7,332915074,58818,0,598.637.238.700.553,-104.572.387.005.531,58818,0,-314.111.300.966.597,-174.684.066.150.851
0,7,2020,8,332915074,58915,0,592.940.572.033.887,-379.057.203.388.656,58915,0,-113.860.030.077.417,-639.283.633.583.154
0,7,2020,9,332915074,59335,1,591.098.686.440.668,225.131.355.933.176,59334,300.376.906.333.776,676.242.602.139.355,380.869.321.988.908
0,7,2020,10,332915074,59699,20,592.618.686.440.668,437.131.355.933.161,59679,600.753.812.667.551,131.304.164.356.691,737.626.682.949.633
0,7,2020,11,332915074,58675,49,582.304.686.440.669,444.531.355.933.141,58626,14.718.468.410.355,133.526.953.463.555,763.399.928.395.381
0,7,2020,12,332915074,59227,533,578.740.686.440.668,135.293.135.593.316,58694,160.100.891.075.902,406.389.335.177.163,233.771.598.857.841
0,7,2020,13,332915074,63031,2970,571.308.686.440.668,590.013.135.593.315,60061,892.119.411.811.314,17.722.632.036.581,103.273.965.475.509
0,7,2020,14,332915074,72299,9208,570.288.686.440.669,152.701.313.559.331,63091,276.587.055.352.141,458.679.481.600.557,267.761.428.886.802
0,7,2020,15,332915074,79101,14894,566.354.686.440.668,224.655.313.559.332,64207,447.381.364.293.526,674.812.680.783.965,396.668.940.750.201
0,7,2020,16,332915074,76814,15260,555.046.686.440.669,213.093.313.559.331,61554,458.375.159.065.342,640.083.102.873.651,383.919.621.114.807
0,7,2020,17,332915074,73913,14917,548.868.686.440.668,190.261.313.559.332,58996,448.072.231.178.093,571.501.047.619.526,346.642.682.046.863
0,7,2020,18,332915074,69305,13161,549.084.686.440.668,143.965.313.559.332,56144,395.326.046.425.882,432.438.555.063.241,262.191.456.280.739
0,7,2020,19,332915074,66816,12053,540.920.686.440.668,127.239.313.559.332,54763,3.620.442.852.041,382.197.513.709.854,235.227.301.800.166
0,7,2020,20,332915074,64481,9824,535.394.686.440.668,109.415.313.559.332,54657,295.090.272.782.301,328.658.333.924.922,204.363.839.108.548
0,7,2020,21,332915074,61634,8275,534.316.686.440.668,820.233.135.593.317,53359,248.561.889.991.199,246.379.091.741.973,153.510.671.930.775
